Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify:track:Spotify - id
Arziyan,Javed Ali,Delhi-6,Favorite Songs,Favorite,INS180900090,3V80Iv04B9XAqGHbXdtRT1,spotify:track:3V80Iv04B9XAqGHbXdtRT1
Akaza Theme,Samuel Kim,Demon Slayer: Epic Collection,Favorite Songs,Favorite,QZHN72157061,6wSi72fq4dUFE52YSow7cF,spotify:track:6wSi72fq4dUFE52YSow7cF
Dan Dan Cheeni Shoot Mix,Paroma,Department,Favorite Songs,Favorite,INS181201229,5Fp3AsPsh1MPtpRZDu64ky,spotify:track:5Fp3AsPsh1MPtpRZDu64ky
One Thousand Miles,Yo Yo Honey Singh,Desi Kalakaar,Favorite Songs,Favorite,INS181402057,7FQTRGEYNU9vyR03xVHDrd,spotify:track:7FQTRGEYNU9vyR03xVHDrd
Love Dose,Yo Yo Honey Singh,Desi Kalakaar,Favorite Songs,Favorite,INS181402053,1QZRCi2Z1DQQaR6bGAzhtN,spotify:track:1QZRCi2Z1DQQaR6bGAzhtN
Desi Kalakaar,Yo Yo Honey Singh,Desi Kalakaar,Favorite Songs,Favorite,INS181402052,7m4CgL81VVIHaaiSxyH922,spotify:track:7m4CgL81VVIHaaiSxyH922
Dil Ne Yeh Kaha Hain Dil Se,Udit Narayan,Dhadkan (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV110000484,1Q9ME2mhsXqwtMszjrSl39,spotify:track:1Q9ME2mhsXqwtMszjrSl39
Laaree Chootee,Call,Dhoom,Favorite Songs,Favorite,FRX201831581,5N0bIQTnSVrDCSlKydMt3E,spotify:track:5N0bIQTnSVrDCSlKydMt3E
Die With A Smile,Lady Gaga,Die With A Smile,Favorite Songs,Favorite,USUM72409273,2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe
Jaane Kyon Log Pyar,Udit Narayan,Dil Chahta Hai,Favorite Songs,Favorite,INS180131112,2NouPVwXUlBF0wDm5bpAbp,spotify:track:2NouPVwXUlBF0wDm5bpAbp
Koi Kahe Kehta Rahe,Shankar Mahadevan,Dil Chahta Hai,Favorite Songs,Favorite,INS180131115,5zKRKQwLVBT1WDJE7XJrnm,spotify:track:5zKRKQwLVBT1WDJE7XJrnm
Tanhayee,Sonu Nigam,Dil Chahta Hai,Favorite Songs,Favorite,INS180131117,5HXJV5FjXdfUk3UFBTg8Fe,spotify:track:5HXJV5FjXdfUk3UFBTg8Fe
Gallan Goodiyaan,Yashita Sharma,Dil Dhadakne Do,Favorite Songs,Favorite,INS181500717,7hNYvX0qAKrxtVr1jGDmvR,spotify:track:7hNYvX0qAKrxtVr1jGDmvR
Afsana,Himesh Reshammiya,Dil Diya Hai,Favorite Songs,Favorite,INS180601840,0UIR5fa8YSbW11WUpmPQdd,spotify:track:0UIR5fa8YSbW11WUpmPQdd
"Dil Ko Karaar Aaya (From ""Sukoon"")",Rajat Nagpal,"Dil Ko Karaar Aaya (From ""Sukoon"")",Favorite Songs,Favorite,FRX282015435,5urYiIXu1ZhfMAOsp7WDTc,spotify:track:5urYiIXu1ZhfMAOsp7WDTc
Dil Se Re,A.R. Rahman,Dil Se (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119800031,30yySOIXHZYx94sLAySy2j,spotify:track:30yySOIXHZYx94sLAySy2j
Chaiyya Chaiyya,Sukhwinder Singh,Dil Se (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119800029,5H4rKylLnO8KrmdXTRhj5s,spotify:track:5H4rKylLnO8KrmdXTRhj5s
Ae Ajnabi,Udit Narayan,Dil Se (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119800032,1usJKPPaZ3J5XZFai2x98X,spotify:track:1usJKPPaZ3J5XZFai2x98X
Jiya Jale,Lata Mangeshkar,Dil Se (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INV119800030,16W3Eqvgh4Sl84RoHZYnNV,spotify:track:16W3Eqvgh4Sl84RoHZYnNV
Abhi Kuch Dino Se,Pritam,Dil Toh Baccha Hai Ji,Favorite Songs,Favorite,INS181009718,1QufGJee7k9v4Cfp2NxXbv,spotify:track:1QufGJee7k9v4Cfp2NxXbv
Birthday Bash,Yo Yo Honey Singh,Dilliwaali Zaalim Girlfriend,Favorite Songs,Favorite,INS181500321,2FZiKJgWcqwLJ2GYnYuUri,spotify:track:2FZiKJgWcqwLJ2GYnYuUri
Tum Kya Jaano Moohbat Kya Hai - Hum Kisise Kum Naheen - Recreated,R. D. Burman,DJ Aqeel Forever,Favorite Songs,Favorite,INH101002649,5B1FshQZTpVF5R6Wiek41D,spotify:track:5B1FshQZTpVF5R6Wiek41D
Dollar,GKhan,Dollar,Favorite Songs,Favorite,FRX201971802,2cypRBNB67aD1FjuGtooHe,spotify:track:2cypRBNB67aD1FjuGtooHe
"Dollar - From ""Dakuaan Da Munda""",Sidhu Moose Wala,"Dollar (From ""Dakuaan Da Munda"")",Favorite Songs,Favorite,FR59R1872973,7rXDc2ImBGwcypUFbNqbFB,spotify:track:7rXDc2ImBGwcypUFbNqbFB
Babuji Zara Dheere Chalo,Sandeep Chowta,Dum (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS170200088,6tBw0YriaKSzUr5M8xXH2H,spotify:track:6tBw0YriaKSzUr5M8xXH2H
Moh Moh Ke Dhaage (Female),Anu Malik,Dum Laga Ke Haisha,Favorite Songs,Favorite,INY091500022,7uubRr0u9Zxc1Y84hEn7Xf,spotify:track:7uubRr0u9Zxc1Y84hEn7Xf
Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,Favorite Songs,Favorite,INY091500017,189DQylImZ1hGZaIpAQUzx,spotify:track:189DQylImZ1hGZaIpAQUzx
Jiyein Kyun,Pritam,Dum Maaro Dum,Favorite Songs,Favorite,INS181100868,0up9rhm9qt2LW7cnoDFCMk,spotify:track:0up9rhm9qt2LW7cnoDFCMk
Deedar De (Nikhil Mix),Vishal-Shekhar,Dus,Favorite Songs,Favorite,INS180573886,19uybTRF0AmvCe1VpnbIv6,spotify:track:19uybTRF0AmvCe1VpnbIv6
Khuda Bhi,Tony Kakkar,Ek Paheli Leela,Favorite Songs,Favorite,INS181500353,0ZDIbqhCCa0i3j5WDZioEP,spotify:track:0ZDIbqhCCa0i3j5WDZioEP
Saiyaara,Sohail Sen,Ek Tha Tiger,Favorite Songs,Favorite,INY091200027,1ocYa8PoVd5e2vPn0xHJcA,spotify:track:1ocYa8PoVd5e2vPn0xHJcA
Hosanna,A.R. Rahman,Ekk Deewana Tha (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171101398,5NChQ2tXB9q9D8kdkLTWOL,spotify:track:5NChQ2tXB9q9D8kdkLTWOL
Char Baj Gaye - Party Abhi Baaki Hai,Sachin-Jigar,F.A.L.T.U (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INS171100088,1eFH9kh7L63Zb8FDqjbwZJ,spotify:track:1eFH9kh7L63Zb8FDqjbwZJ
Mere Haath Mein,Jatin-Lalit,Fanaa,Favorite Songs,Favorite,INY090600010,6oUK2k9OJ0WvmVveyauFB7,spotify:track:6oUK2k9OJ0WvmVveyauFB7
Chand Sifarish,Jatin-Lalit,Fanaa,Favorite Songs,Favorite,INY090600009,5EYZZvmNAH5VZCwuzYJqoA,spotify:track:5EYZZvmNAH5VZCwuzYJqoA
Dekho Na,Jatin-Lalit,Fanaa,Favorite Songs,Favorite,INY090600012,5q0pLxhyHvZXnYxaygt2Az,spotify:track:5q0pLxhyHvZXnYxaygt2Az
